mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,rect_count,tag_count,status,detail
both,167,400,401,15437,DONE,14,6,UPDATED,
both,167,400,402,15438,DONE,14,6,UPDATED,
both,167,400,403,15439,DONE,14,6,UPDATED,
both,167,400,404,15440,DONE,14,6,UPDATED,
both,167,400,405,15441,DONE,14,6,UPDATED,
both,167,400,406,15442,DONE,14,6,UPDATED,
both,167,400,407,15443,DONE,14,6,UPDATED,
both,167,400,408,15444,DONE,14,6,UPDATED,
both,167,400,409,15445,DONE,14,6,UPDATED,
both,167,400,410,15446,DONE,14,6,UPDATED,
